student_token,term,academic_career,faculty_code,faculty_descr,academic_plan,academic_plan_descr,academic_plan_type,academic_plan_type_descr,academic_program,academic_program_descr,degree,degree_descr,admit_term,completion_term,degree_checkout_status_descr
mk_47aa4aa47117a07eda5c2d3b3dcaef12eff542fb,1610.0,GRAD,2.0,BIZ,0200MBACWK,MBA,GDC,Graduate Coursework,M0210,Master of Business Admin,M021000,Master of Business Administration,1610.0,1720.0,Degree Awarded
mk_47aa4aa47117a07eda5c2d3b3dcaef12eff542fb,1630.0,GRAD,2.0,BIZ,0200MBACWK,MBA,GDC,Graduate Coursework,M0210,Master of Business Admin,M021000,Master of Business Administration,1610.0,1720.0,Degree Awarded
mk_47aa4aa47117a07eda5c2d3b3dcaef12eff542fb,1710.0,GRAD,2.0,BIZ,0200MBACWK,MBA,GDC,Graduate Coursework,M0210,Master of Business Admin,M021000,Master of Business Administration,1610.0,1720.0,Degree Awarded
mk_47aa4aa47117a07eda5c2d3b3dcaef12eff542fb,1730.0,GRAD,2.0,BIZ,0200MBACWK,MBA,GDC,Graduate Coursework,M0210,Master of Business Admin,M021000,Master of Business Administration,1610.0,1720.0,Degree Awarded
mk_47aa4aa47117a07eda5c2d3b3dcaef12eff542fb,1620.0,GRAD,2.0,BIZ,0200MBACWK,MBA,GDC,Graduate Coursework,M0210,Master of Business Admin,M021000,Master of Business Administration,1610.0,1720.0,Degree Awarded
mk_47aa4aa47117a07eda5c2d3b3dcaef12eff542fb,1720.0,GRAD,2.0,BIZ,0200MBACWK,MBA,GDC,Graduate Coursework,M0210,Master of Business Admin,M021000,Master of Business Administration,1610.0,1720.0,Degree Awarded
mk_47aa4aa47117a07eda5c2d3b3dcaef12eff542fb,1640.0,GRAD,2.0,BIZ,0200MBACWK,MBA,GDC,Graduate Coursework,M0210,Master of Business Admin,M021000,Master of Business Administration,1610.0,1720.0,Degree Awarded
mk_b8b20bcc7bf4c5935b58bca39ca40ea1c35a754c,1610.0,GRAD,2.0,BIZ,0200MBACWK,MBA,GDC,Graduate Coursework,M0210,Master of Business Admin,M021000,Master of Business Administration,1610.0,1740.0,Degree Awarded
mk_b8b20bcc7bf4c5935b58bca39ca40ea1c35a754c,1710.0,GRAD,2.0,BIZ,0200MBACWK,MBA,GDC,Graduate Coursework,M0210,Master of Business Admin,M021000,Master of Business Administration,1610.0,1740.0,Degree Awarded
mk_b8b20bcc7bf4c5935b58bca39ca40ea1c35a754c,1720.0,GRAD,2.0,BIZ,0200MBACWK,MBA,GDC,Graduate Coursework,M0210,Master of Business Admin,M021000,Master of Business Administration,1610.0,1740.0,Degree Awarded
mk_b8b20bcc7bf4c5935b58bca39ca40ea1c35a754c,1630.0,GRAD,2.0,BIZ,0200MBACWK,MBA,GDC,Graduate Coursework,M0210,Master of Business Admin,M021000,Master of Business Administration,1610.0,1740.0,Degree Awarded
mk_b8b20bcc7bf4c5935b58bca39ca40ea1c35a754c,1730.0,GRAD,2.0,BIZ,0200MBACWK,MBA,GDC,Graduate Coursework,M0210,Master of Business Admin,M021000,Master of Business Administration,1610.0,1740.0,Degree Awarded
